id,score,participant.label,player.cq1,player.cq2,player.cq3,player.cq4,player.cq5,player.cq6,player.cq7
1310411,2,C10411,4,2,5,2,3,100,24
1310414,5,C10414,3,1,5,2,5,100,7
1310415,5,C10415,3,1,5,2,5,20,28
1310421,3,C10421,2,1,5,3,5,100,24
1310403,0,C10403,4,3,3,5,2,50,24
1310409,3,C10409,2,1,2,2,5,20,24
1310426,0,C10426,2,2,3,1,1,100,24
1310412,2,C10412,3,2,5,3,3,100,24
1310430,0,C10430,2,5,3,1,2,100,24
1310417,5,C10417,3,1,5,2,5,48,47
1310420,2,C10420,3,4,5,1,4,20,24
1310407,5,C10407,3,1,5,2,5,5,47
1310419,2,C10419,3,2,2,2,3,48,47
1310402,5,C10402,3,1,5,2,5,100,24
1310406,1,C10406,4,2,3,2,3,100,24
1310424,4,C10424,3,1,5,3,5,20,4
1310431,0,C10431,2,3,1,1,1,1,1
1310428,1,C10428,2,2,1,2,4,100,24
1310410,5,C10410,3,1,5,2,5,100,24
1310404,4,C10404,1,1,5,2,5,100,12
1310408,2,C10408,3,5,1,2,3,100,24
1310413,5,C10413,3,1,5,2,5,100,47
1310422,2,C10422,2,3,5,2,3,20,12
1310416,4,C10416,3,1,5,2,3,48,24
1310401,5,C10401,3,1,5,2,5,5,47
UMMY1,0,DUMMY10103,,,,,,,
UMMY1,0,DUMMY10104,,,,,,,
1310132,4,C10132,3,2,5,2,5,20,12
1310109,1,C10109,2,3,5,3,4,100,24
1310108,1,C10108,2,3,5,1,1,100,24
1310104,5,C10104,3,1,5,2,5,100,24
1310101,1,C10101,3,3,3,3,3,100,12
1310111,3,C10111,3,1,5,1,4,5,20
1310121,3,C10121,4,2,5,2,5,100,24
1310116,3,C10116,3,4,5,2,3,5,24
1310119,4,C10119,3,1,5,2,3,100,24
1310105,0,C10105,2,2,2,4,1,419,8
1310112,4,C10112,3,1,5,2,2,20,47
1310117,2,C10117,3,2,5,3,2,100,24
1310125,2,C10125,3,5,3,2,4,40,24
1310113,2,C10113,3,2,5,5,3,5,24
1310124,0,C10124,4,2,3,4,3,500,12
1310107,1,C10107,3,2,3,4,4,215,8
1310126,2,C10126,5,2,5,2,4,100,24
1310128,1,C10128,4,4,5,3,3,100,24
1310118,2,C10118,3,2,5,1,4,20,24
1310103,3,C10103,3,3,5,2,4,100,24
1310131,4,C10131,3,1,5,2,3,100,24
1310102,4,C10102,3,1,5,2,4,100,24
1310115,1,C10115,4,2,5,3,4,25,24
1310127,3,C10127,1,2,5,2,5,100,24
1310130,2,C10130,3,2,5,4,2,20,24
1310122,1,C10122,5,3,5,4,4,100,24
1310120,2,C10120,4,5,5,2,1,100,24
1310123,2,C10123,4,2,5,4,5,100,12
1310114,2,C10114,3,1,1,1,1,6,4
1110203,2,B10203,5,3,1,2,5,500,47
1110218,0,B10218,4,3,4,4,4,1,12314124
1110204,0,B10204,4,4,4,4,3,100,24
1110221,4,B10221,1,1,5,2,5,100,24
1110207,4,B10207,3,3,5,2,5,100,24
1110223,4,B10223,3,4,5,2,5,20,24
1110215,4,B10215,3,1,5,2,4,20,24
1110202,1,B10202,3,3,3,3,3,0,0
1110224,0,B10224,4,3,3,1,4,100,24
1110226,2,B10226,4,3,4,2,5,20,28
1110225,5,B10225,3,1,5,2,5,100,24
1110210,2,B10210,2,3,5,2,4,100,12
1110209,1,B10209,3,2,3,3,3,100,24
1110220,2,B10220,1,4,5,2,3,100,12
1110205,0,B10205,2,3,1,1,3,100,24
1110211,3,B10211,3,4,5,2,4,100,16
1110219,5,B10219,3,1,5,2,5,100,24
1110227,3,B10227,3,4,5,2,1,100,24
1110208,1,B10208,1,2,3,4,5,100,12
1110212,0,B10212,5,4,2,3,3,123,12
1110201,5,B10201,3,1,5,2,5,100,24
1110213,1,B10213,4,2,4,2,3,100,24
1110228,4,B10228,3,1,5,2,3,5,24
1110206,3,B10206,3,4,5,2,3,100,24
1110214,1,B10214,2,3,3,2,2,100,24
1110222,5,B10222,3,1,5,2,5,500,6
1110216,4,B10216,3,1,5,2,1,100,24
1110217,2,B10217,3,3,5,3,4,100,24
1110116,2,B10116,5,3,5,2,4,5,24
1110108,3,B10108,3,2,5,2,1,15,24
1110103,3,B10103,3,2,5,2,1,20,24
1110124,1,B10124,3,0,0,0,0,0,0
1110117,5,B10117,3,1,5,2,5,100,24
1110120,3,B10120,3,2,5,2,1,100,24
1110115,2,B10115,2,4,5,2,1,100,24
1110119,2,B10119,3,1,0,0,0,0,24
1110113,0,B10113,4,4,4,4,4,4,4
1110127,3,B10127,3,2,5,2,1,100,24
1110125,4,B10125,3,4,5,2,5,100,24
1110101,0,B10101,4,5,3,5,3,1,3
1110126,4,B10126,3,1,5,2,4,2,24
1110106,4,B10106,3,1,5,2,1,5,24
1110111,4,B10111,3,2,5,2,5,1000000000,3
1110128,3,B10128,3,2,5,2,1,5,24
1110105,5,B10105,3,1,5,2,5,100,24
1110123,3,B10123,3,1,5,4,3,5,24
1110107,3,B10107,3,4,5,2,4,5,47
1110118,0,B10118,2,2,4,4,3,80,47
1110114,1,B10114,2,3,5,1,3,100,24
1110104,1,B10104,3,2,3,3,4,896,24
1110102,1,B10102,3,4,3,3,3,5,24
1110112,0,B10112,4,4,4,4,4,4,4
1110109,2,B10109,2,1,4,2,1,10,1
1110626,0,B10626,,,,,,,
1110603,0,B10603,,,,,,,
1110616,0,B10616,,,,,,,
1110609,0,B10609,,,,,,,
1110610,0,B10610,,,,,,,
1110608,0,B10608,,,,,,,
1110613,0,B10613,,,,,,,
1110612,0,B10612,,,,,,,
1110615,0,B10615,,,,,,,
1110601,0,B10601,,,,,,,
1110606,0,B10606,,,,,,,
1110628,0,B10628,,,,,,,
1110619,0,B10619,,,,,,,
1110627,0,B10627,,,,,,,
1110625,0,B10625,,,,,,,
1110607,0,B10607,,,,,,,
1110617,0,B10617,,,,,,,
1110618,0,B10618,,,,,,,
1110622,0,B10622,,,,,,,
1110623,0,B10623,,,,,,,
1110620,0,B10620,,,,,,,
1110624,0,B10624,,,,,,,
1110604,0,B10604,,,,,,,
1110523,3,B10523,3,4,5,3,5,100,24
1110510,3,B10510,4,1,5,2,4,100,24
1110507,5,B10507,3,1,5,2,5,100,47
1110506,1,B10506,4,3,5,4,4,20,5
1110524,4,B10524,3,4,5,2,5,81,24
1110519,0,B10519,2,3,4,4,2,100,24
1110517,2,B10517,4,3,5,2,1,100,24
1110526,2,B10526,3,3,4,4,5,6,3
1110509,0,B10509,4,3,2,4,4,5,24
1110525,0,B10525,5,4,2,5,2,5,1
1110514,1,B10514,2,4,5,3,1,100,24
1110518,2,B10518,2,4,5,2,1,100,24
