WARP_Violations,#Pairs,GARP_Violations,#Pairs,SARP_Violations,#Pairs,AFRIAT_Index,VARIAN_Index_Min,VARIAN_Index_Mean,VARIAN_Index_AVG(SSQ),Is exact,Houtman-Maks-Index,Is exact,Subject
8,4,31,27,56,28,0.13754,0.13754,0.0087552,0.032761,2,0.11111,1,21204131
14,7,25,18,36,18,0.10977,0.10977,0.019755,0.037861,1,0.27778,1,21204132
4,2,15,13,30,15,0.33582,0.33582,0.027289,0.087216,1,0.055556,1,21204141
28,14,125,111,240,120,0.49907,0.63251,0.22986,0.30035,3,0.27778,1,21204151
6,3,20,17,42,21,0.046333,0.046333,0.0040677,0.012146,1,0.11111,1,21204161
48,24,145,121,272,136,0.40805,0.50457,0.17307,0.24422,3,0.38889,1,21204171
8,4,33,29,72,36,0.054704,0.054704,0.005361,0.016226,2,0.11111,1,21204181
26,13,83,70,156,78,0.46493,0.52403,0.15769,0.24006,3,0.27778,1,21204182
16,8,65,57,132,66,0.27203,0.27203,0.029052,0.079481,2,0.16667,1,21204191
22,11,112,101,272,136,0.31747,0.31747,0.040434,0.1153,2,0.22222,1,21204201
32,16,99,83,210,105,0.34302,0.6081,0.18838,0.26387,3,0.22222,1,21204211
12,6,44,38,90,45,0.2009,0.2009,0.025498,0.064041,2,0.16667,1,22103011
40,20,108,88,240,120,0.26969,0.36249,0.12992,0.17498,3,0.33333,1,22103012
24,12,121,109,272,136,0.15548,0.15548,0.030862,0.053913,2,0.27778,1,22103021
24,12,43,31,70,35,0.48049,0.48049,0.074861,0.15892,2,0.33333,1,22103022
10,5,31,26,78,39,0.041499,0.041499,0.0062705,0.014175,2,0.16667,1,22103031
2,1,10,9,20,10,0.066586,0.066586,0.0036992,0.015694,1,0.055556,1,22103032
12,6,31,25,50,25,0.48701,0.48701,0.04632,0.13192,2,0.11111,1,22103041
14,7,23,16,32,16,0.12827,0.12827,0.011234,0.033982,1,0.22222,1,22103042
18,9,89,80,182,91,0.10541,0.10541,0.015469,0.032391,2,0.22222,1,22103051
10,5,22,17,36,18,0.17197,0.17197,0.017522,0.049167,1,0.11111,1,22103052
8,4,35,31,72,36,0.073943,0.073943,0.0091585,0.024276,2,0.11111,1,22103061
16,8,77,69,182,91,0.19659,0.19659,0.032189,0.075181,2,0.22222,1,22103062
14,7,48,41,102,51,0.52873,0.52873,0.043241,0.12931,2,0.27778,1,22103071
28,14,106,92,210,105,0.2589,0.65249,0.13152,0.20588,3,0.38889,1,22103072
22,11,114,103,272,136,0.47044,0.47044,0.043242,0.11905,2,0.22222,1,22103081
48,24,116,92,210,105,0.55166,0.74603,0.28347,0.37048,3,0.33333,1,22103082
12,6,17,11,22,11,0.086523,0.086523,0.010844,0.026908,1,0.16667,1,22103101
38,19,129,110,240,120,0.21944,0.42749,0.12024,0.17928,3,0.33333,1,22103111
26,13,131,118,272,136,0.1908,0.45113,0.11075,0.16324,3,0.27778,1,22103112
10,5,27,22,72,36,0.17553,0.17553,0.017917,0.050962,2,0.16667,1,22103121
12,6,26,20,48,24,0.096688,0.096688,0.013667,0.030829,1,0.16667,1,22103131
6,3,15,12,30,15,0.25041,0.25041,0.016014,0.062459,1,0.11111,1,22103132
14,7,107,100,272,136,0.40747,0.40747,0.050082,0.12766,2,0.16667,1,22103141
16,8,103,95,212,106,0.46542,0.46542,0.051887,0.13567,2,0.22222,1,22103151
20,10,43,33,68,34,0.16107,0.16107,0.031959,0.059176,2,0.22222,1,22103152
8,4,16,12,32,16,0.12168,0.12168,0.012736,0.039351,1,0.11111,1,22103161
20,10,96,86,240,120,0.27664,0.27664,0.043949,0.10274,2,0.22222,1,22103171
20,10,37,27,56,28,0.16665,0.16665,0.022221,0.051429,2,0.16667,1,22103181
22,11,98,87,210,105,0.29453,0.29453,0.035241,0.082735,2,0.22222,1,22103182
10,5,19,14,32,16,0.062596,0.062596,0.0070629,0.019891,1,0.16667,1,22103191
22,11,53,42,96,48,0.35237,0.35237,0.049996,0.11696,2,0.22222,1,22103201
14,7,36,29,78,39,0.059836,0.059836,0.0084034,0.021051,2,0.16667,1,22103211
14,7,53,46,128,64,0.1096,0.1096,0.014317,0.033364,2,0.22222,1,22103221
10,5,21,16,42,21,0.24779,0.24779,0.024183,0.063821,1,0.16667,1,22103231
32,16,86,70,156,78,0.19553,0.60118,0.16286,0.2399,3,0.22222,1,22103241
18,9,71,62,132,66,0.18483,0.18483,0.027272,0.061619,2,0.16667,1,22103251
12,6,24,18,44,22,0.59462,0.59462,0.054562,0.16216,1,0.16667,1,22104011
12,6,62,56,132,66,0.076723,0.076723,0.013668,0.029664,2,0.16667,1,22104012
2,1,2,1,2,1,0.01595,0.01595,0.00088612,0.0037595,1,0.055556,1,22104021
4,2,12,10,22,11,0.19138,0.19138,0.019201,0.057935,1,0.11111,1,22104031
24,12,107,95,210,105,0.20448,0.20448,0.033878,0.070366,2,0.27778,1,22104032
10,5,16,11,24,12,0.05143,0.05143,0.010051,0.020624,1,0.27778,1,22104041
18,9,65,56,132,66,0.31987,0.31987,0.02869,0.079955,2,0.22222,1,22104042
2,1,2,1,2,1,0.027323,0.027323,0.001518,0.0064402,1,0.055556,1,22104051
